1,我和我的家乡 电影幕后纪实节目,1250.0万,4.0万,14.0万,更新至第4集
2,嗨，大学！,491.0万,2.7万,10.9万,更新至第5集
3,詹姆斯·卡梅隆的科幻故事,111.5万,2278,4.6万,更新至第4集
4,富豪谷底求翻身,446.4万,1.5万,15.6万,更新至第7集
5,我们:《夺冠》幕后纪实,248.3万,1.2万,7.6万,全4集
6,法医密档,185.9万,1.3万,10.1万,更新至第7集
7,小动物狠角色,27.0万,763,1.5万,更新至第2集
8,我住在这里的理由 第三季,261.6万,2.9万,3.4万,更新至第25集
9,兵器科技,90.2万,451,1.7万,更新至第175集
10,无影灯下,2068.8万,16.4万,83.8万,全16集
11,格拉汉姆·诺顿秀 第二十三季,26.3万,1101,1.3万,更新至第2集
12,动物农场2019,1194.4万,10.4万,18.7万,全52集
13,冒险雷探长,3940.3万,88.1万,40.1万,更新至第249集
14,纳粹二战工程：美国之战 第五季,17.8万,1005,1.4万,更新至第6集
15,百家讲坛之易中天品三国,1372.8万,37.7万,46.8万,全52集
16,痛下杀手,5.3万,212,2137,全1集
17,冻结的希望 ,195.7万,6935,2.8万,全1集
18,比划,744.5万,1.8万,8.0万,更新至第177集
19,原始生活21天 第五季,55.1万,7108,1.1万,更新至第9集
20,舌尖上的中国 第一季,1957.3万,27.4万,42.7万,全7集
21,这就是中国,3138.4万,7.7万,67.4万,更新至第74集
22,舌尖上的中国 第二季,688.6万,9.0万,17.7万,全7集
23,灵笼：研发记录,516.8万,2.5万,10.5万,全1集
24,人生一串,8084.8万,135.0万,168.3万,全6集
25,人生一串 第二季,9799.0万,105.2万,236.7万,全6集
26,超级工程 第二季,15.0万,1492,8884,全4集
27,守护解放西,4576.6万,84.9万,91.7万,全10集
28,我住在这里的理由 第二季,2576.1万,27.6万,13.1万,全200集
29,动物农场2020,332.1万,2.9万,22.0万,更新至第39集 下
30,海昏侯,49.6万,1.1万,2.4万,全3集
31,决胜荒野之华夏秘境,4801.1万,42.7万,190.3万,全6集
32,航拍中国 第三季,1341.2万,29.9万,68.8万,全10集
