1,军校有rap！《滚烫》听听看,40.3万,1957,国防科技大学,1014439
2,第7期（上）特别突围赛开启“生死战”【说唱新世代】,255.7万,20.0万,说唱新世代,817585
3,【原神】外 乡 人,38.0万,1958,不死な千咲,723894
4,亮剑踩点爆笑,44.8万,230,我喜欢的一切,599780
5,在马路中间捡到了一只生病受伤的小边牧，它后来怎么样了,49.3万,975,边牧coffee的日常,583415
6,只为一天营业额，让502人遇难，韩国三丰百货大厦倒塌惨案,53.9万,3124,英大吉来了,512054
7,【刘谦魔术课】只要一副牌，魔术随手来！One ahead principle！,33.6万,2112,刘谦,490627
8,【逆袭】从专科落榜到复旦博士，一个信念伴我十年,28.4万,596,暴撕李博士,472600
9,冷凇：综艺风格跟一个国家的气质有关,25.9万,7217,观学院官方,461667
10,“无意”踩到猫猫狗狗的jiojio,44.1万,340,牛奶爆炸糖,446324
11,《V子努力走红中！》第一集：给日本人看B站的视频是什么反应？【山下智博】【小峠英二】【V子】,29.5万,6002,V子Official,445909
12,我是被侮辱了？,51.5万,41,重庆崽崽小颖,411488
13,你焦虑，因为你在二三十岁的时候还没有长大，也没有发现人生的本质。人活一辈子，是一个逐渐成长的过程。人生一辈子，也是一个逐渐发现自我的过程。,18.0万,141,可可剪辑,404291
14,机械专业岗位越来越少，中国制造该怎么办？,33.4万,5166,科工力量,393155
15,【JUMP】为何绿茶总是能大占便宜。,32.6万,939,暴躁的仙人JUMP,388627
16,怎么总有人喜欢多管闲事呢,40.0万,16,惨爆了阿浩,346043
17,定格动画｜乐高变身“恐怖”食物，超过瘾的油管动画,25.3万,468,FrankenFood,323819
18,【管云鹏】你敢信，我跟矮油王老六，出了首“rap”？！,30.9万,238,演员管云鹏,318503
19,海底捞吃撑了是一种什么样的体验,33.9万,333,程在日的日常,311055
20,水晶哥复盘怒喷Sofm：你以为你是谁啊，来到海边选套海景房？,33.6万,167,一鱼四吃水晶哥,298278
21,【对耳机宝具 以下要求全文背诵 极限踩点 全程高能】,8.7万,186,zer0つ,294936
22,只要输一次就上天,29.8万,121,委屈的小香蕉,285858
23,李信,30.0万,292,郴郴郴o,285100
24,这孩子旺仔牛逼糖吃多了,30.4万,53,淦就完了-_,283966
25,油管1.5亿播放特效经典《粉笔战争》独家登陆B站，神仙团队SoKrispy来啦！,22.4万,77,粉笔战争SoKrispy,274567
26,【米勒赛事速递】小组赛D5：地火阿宾天赋溢出！G2永远滴背景板！,18.6万,792,解说米勒,266697
27,孙策加黄忠太猛了,26.6万,118,三好影视剪辑,265398
28,这条视频成本2W，阿电带你爽一回！一口气买下所有英雄和皮肤,20.1万,299,分手大师阿电,250353
29,今天给60多只流浪狗改善生活，呼了一锅鸡肉，狗狗馋的直流口水,17.0万,407,狗老舅,239982
30,女孩子一定要减肥，不然万一有一天消防员来救你的时候就不是公主抱，而是大家嘴里喊着，1-2-3使劲起❗ [撇嘴][撇嘴][撇嘴],22.2万,106,减肥成功的穷鬼,228982
